scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,variety,canada,1760,854,906,False,-3.84381684,calibration,0.50335,0.467603,0.534531,0.4852,0.0,0.002342,0.04918,0.891832,0.935982,0.987859,0.489205,0.493076,0.514773,0.479748,0.624122,0.542494,-0.014344,0.0067,0.331754,0.255824,3.668939,42.963378,,,,,
finetuning,loss,variety,chile,1481,730,751,False,-3.17789063,calibration,0.489537,0.456532,0.536351,0.480496,0.005479,0.006849,0.027397,0.905459,0.961385,0.992011,0.495611,0.490712,0.50709,0.462882,0.145205,0.221064,-0.025687,-0.020926,0.33868,0.2526,3.588087,39.87575,,,,,
finetuning,loss,variety,colombia,1414,717,697,False,-3.79398029,calibration,0.483913,0.432383,0.524378,0.491162,0.001395,0.008368,0.032078,0.893831,0.941176,0.992826,0.491513,0.48732,0.507072,0.499112,0.783821,0.609875,-0.031483,-0.032174,0.341499,0.260785,3.430704,34.267573,,,,,
finetuning,loss,variety,egypt,2584,1291,1293,False,-4.17492973,calibration,0.45285,0.409462,0.485439,0.461845,0.001549,0.003873,0.034082,0.908739,0.959783,0.986079,0.493034,0.493343,0.500387,0.495914,0.893106,0.637721,-0.022166,-0.094301,0.356982,0.282992,3.103629,33.629773,,,,,
finetuning,loss,variety,great britain,1730,871,859,False,-3.95468511,calibration,0.51601,0.476132,0.556368,0.514198,0.0,0.005741,0.056257,0.871944,0.931315,0.988359,0.501734,0.500411,0.503468,0.503766,0.69116,0.582769,0.000889,0.03202,0.32542,0.242451,3.672319,44.805499,,,,,
finetuning,loss,variety,gulf,2436,1196,1240,False,-1.65448048,calibration,0.506651,0.466904,0.532883,0.502053,0.000836,0.014214,0.051839,0.902419,0.954032,0.991129,0.512315,0.505406,0.509031,0.513986,0.12291,0.198381,0.016793,0.013301,0.330076,0.25585,3.171152,34.345317,,,,,
finetuning,loss,variety,ireland,1612,839,773,False,-3.94228565,calibration,0.510914,0.459176,0.544275,0.523338,0.0,0.014303,0.057211,0.86934,0.936611,0.980595,0.522333,0.51517,0.520471,0.53168,0.690107,0.600622,0.032376,0.021829,0.327985,0.243331,3.665623,44.641737,,,,,
finetuning,loss,variety,levantine,2608,1288,1320,False,-3.783025,calibration,0.445944,0.409314,0.474047,0.456545,0.003106,0.010093,0.039596,0.918939,0.957576,0.993182,0.472009,0.473854,0.506135,0.473777,0.624224,0.538693,-0.054837,-0.108112,0.360432,0.293808,3.41295,37.442162,,,,,
finetuning,loss,variety,maghrebi,2687,1388,1299,False,-2.14876227,calibration,0.514919,0.476921,0.551753,0.533471,0.0,0.003602,0.065562,0.905312,0.95689,0.993841,0.508746,0.518177,0.516561,0.558621,0.233429,0.329268,0.044158,0.029839,0.325941,0.246557,3.146394,33.957836,,,,,
finetuning,loss,variety,mexico,1554,793,761,False,-3.07529119,calibration,0.480318,0.444236,0.516196,0.502274,0.003783,0.015132,0.052963,0.927727,0.96452,0.992116,0.474903,0.481415,0.510296,0.459649,0.165195,0.243043,-0.048014,-0.039364,0.343284,0.2611,3.409285,33.163886,,,,,
finetuning,loss,variety,new zealand,1667,814,853,False,-3.56371685,calibration,0.482062,0.451063,0.512033,0.474095,0.0,0.007371,0.042998,0.917937,0.94959,0.992966,0.502699,0.496291,0.511698,0.480106,0.222359,0.303946,-0.008864,-0.035876,0.342403,0.267247,3.801645,48.505161,,,,,
finetuning,loss,variety,peru,1455,747,708,False,-2.81469018,calibration,0.493013,0.447923,0.533436,0.494543,0.0,0.0,0.024096,0.89548,0.944915,0.981638,0.474914,0.486261,0.513402,0.423423,0.062918,0.109557,-0.051735,-0.013973,0.336941,0.250818,3.513401,37.567641,,,,,
finetuning,loss,variety,portugal,4737,2350,2387,False,-3.63268343,calibration,0.507628,0.477216,0.537066,0.490521,0.0,0.003404,0.042128,0.882279,0.934227,0.989946,0.507916,0.508383,0.503905,0.503584,0.568085,0.533893,0.016885,0.015255,0.329554,0.242981,3.543615,37.57006,,,,,
finetuning,loss,variety,spain,1621,789,832,False,-3.04212474,calibration,0.521706,0.484148,0.561387,0.51109,0.006337,0.013942,0.050697,0.899038,0.959135,0.992788,0.520666,0.510782,0.513263,0.529126,0.13815,0.219095,0.032359,0.043412,0.322584,0.236274,3.469113,34.984168,,,,,
finetuning,loss,variety,united states,1802,914,888,False,-3.90444861,calibration,0.473948,0.435709,0.523444,0.481298,0.0,0.00547,0.025164,0.914414,0.960586,0.994369,0.490566,0.488073,0.507214,0.49835,0.660832,0.568203,-0.025413,-0.052105,0.346457,0.264567,3.654187,43.684162,,,,,
